6.4,36.037,36.021,2023-02-20T17:04:27,Yayladağı (Hatay),-21.73
7.6,38.089,37.239,2023-02-06T10:24:47,Elbistan (Kahramanmaraş),-7.0
6.6,37.304,36.92,2023-02-06T01:28:16,Nurdağı (Gaziantep),-6.2
7.7,37.288,37.043,2023-02-06T01:17:32,Pazarcık (Kahramanmaraş),-8.6
6.4,34.919,32.1663,2022-01-11T01:07:46,Akdeniz,-5.06
6.0,34.722,28.328,2021-10-19T05:32:35,Akdeniz - [194.43 km] Kaş (Antalya),-36.1
6.3,35.0756,26.1166,2021-10-12T09:24:01,"Ege Denizi, Girit Adası (Kriti) - [216.09 km] Datça (Muğla)",-6.62
6.6,37.879,26.703,2020-10-30T11:51:23,Ege Denizi - [27.20 km] Seferihisar (İzmir),-14.9
6.4,34.2226,25.8253,2020-05-02T12:51:09,Akdeniz,-6.65
6.8,38.3593,39.063,2020-01-24T17:55:11,Sivrice (Elazığ),-8.06
6.0,37.851,29.584,2019-08-08T11:25:30,Bozkurt (Denizli),-10.92
7.2,34.642,45.795,2017-11-12T18:18:14,"Sarpol-e-Zahab, Kermanshah (İran)",-20.0
6.5,36.9198,27.4435,2017-07-20T22:31:09,Ege Denizi - [12.00 km] Bodrum (Muğla),-19.44
6.2,38.8486,26.313,2017-06-12T12:28:37,Ege Denizi - [22.36 km] Karaburun (İzmir),-15.96
6.1,33.084,46.634,2014-08-18T02:32:20,"Dehloran, İlam (İran)",-34.7
6.5,40.3035,25.2801,2014-05-24T09:25:01,Ege Denizi - [41.51 km] Gökçeada (Çanakkale),-25.48
6.0,36.048,31.332,2013-12-28T15:21:03,Akdeniz - [74.69 km] Alanya (Antalya),-43.6
6.2,34.0518,24.8221,2013-06-15T16:10:56,Akdeniz,-6.15
6.0,35.7135,28.8563,2012-07-09T13:55:00,Akdeniz - [75.07 km] Kaş (Antalya),-40.45
6.0,36.5302,28.9073,2012-06-10T12:44:16,Akdeniz - [17.00 km] Fethiye (Muğla),-33.77
6.7,38.689,43.4657,2011-10-23T10:41:20,Tuşba (Van),-19.02
6.2,35.4819,26.4011,2011-04-01T13:29:43,Ege Denizi - [164.25 km] Datça (Muğla),-8.99
6.2,42.704,43.414,2009-09-07T22:41:35,"Oni, Racha-Lechkhumi-Kvemo Svaneti (Gürcistan) - [134.06 km] Posof (Ardahan)",-10.67
6.5,33.5529,25.1722,2009-07-01T09:30:01,Akdeniz,-24.89
6.1,36.0103,27.967,2008-07-15T03:26:36,Akdeniz - [70.15 km] Marmaris (Muğla),-57.42
6.1,38.94,40.51,2003-05-01T00:27:04,Merkez (Bingöl),-6.0
6.4,39.41,39.8,2003-01-27T05:26:23,Pülümür (Tunceli),-15.9
6.1,38.46,31.3,2002-02-03T07:11:29,Sultandağı (Afyonkarahisar),-9.6
7.2,40.79,31.21,1999-11-12T16:57:21,Merkez (Düzce),-11.0
7.4,40.7,29.91,1999-08-17T00:01:39,Başiskele (Kocaeli),-15.9
6.0,35.0,33.0,1995-02-23T21:03:07,Nicosia (Güney Kıbrıs Rum Yönetimi),-24.0
6.0,39.56,39.83,1992-04-28T07:16:26,Pülümür (Tunceli),-14.0
6.1,39.6,39.8,1992-03-15T16:16:26,Pülümür (Tunceli),-11.0
7.0,40.0,40.0,1992-03-13T17:18:41,Otlukbeli (Erzincan),-11.0
6.1,42.51,44.01,1991-06-15T00:59:21,"Java, Shida Kartli (Gürcistan) - [142.68 km] Posof (Ardahan)",-11.0
6.2,42.41,43.72,1991-04-29T09:12:47,"Java, Shida Kartli (Gürcistan) - [118.50 km] Posof (Ardahan)",-11.0
